Start_Date,End_Date,Start_Frequency,End_Frequency,Flare_Location,Flare_Region,Importance,CME_Date,CPA,width,isHalo,WidthLimit
2013-10-26 03:01:00,2013-10-26 04:00:00,14000,200,N09W44,11875,C4.5,2013-10-26 03:12:00,271.0,208,False,
1998-11-02 14:00:00,1998-11-02 14:40:00,14000,4000,S25E44,8373,C4.4,1998-11-02 14:18:00,116.0,169,False,
2000-11-12 14:25:00,2000-11-12 14:40:00,3000,2000,S14E05,9227,C4.4,2000-11-12 14:50:00,257.0,50,False,
2013-06-28 01:53:00,2013-06-28 03:26:00,14000,400,S18W19,11777,C4.4,2013-06-28 02:00:00,,360,True,
2014-10-21 12:33:00,2014-10-21 13:01:00,14000,8900,S18E36,12192,C4.4,2014-10-21 12:48:00,152.0,142,False,
2004-07-23 19:00:00,2004-07-23 19:35:00,10000,2500,N04W05,10652,C4.1,2004-07-23 19:31:00,209.0,100,False,
2000-10-25 09:30:00,2000-10-25 23:00:00,10000,300,N09W63,9199,C4.0,2000-10-25 08:26:00,,360,True,
2012-04-09 12:20:00,2012-04-09 13:00:00,16000,5000,N20W65,11451,C3.9,2012-04-09 12:36:00,,360,True,
2002-05-27 12:50:00,2002-05-27 13:50:00,14000,5000,N18E18,9967,C3.7,2002-05-27 13:27:00,49.0,>161,False,161.0
2011-06-02 08:00:00,2011-06-02 08:25:00,15000,4000,S19E25,11227,C3.7,2011-06-02 08:12:00,,360,True,
2012-09-27 23:55:00,2012-09-28 10:15:00,16000,250,N06W34,11577,C3.7,2012-09-28 00:12:00,,360,True,
2006-08-16 15:45:00,2006-08-16 22:15:00,14000,400,S16W08,10904,C3.6,2006-08-16 16:30:00,,360,True,
2014-01-20 22:24:00,2014-01-20 22:36:00,14000,8000,S07E67,DIM,C3.6,2014-01-20 22:00:00,,360,True,
1999-06-28 21:03:00,1999-06-28 21:10:00,3500,1500,N22W44,8592,C3.5,1999-06-28 21:30:00,336.0,>184,False,184.0
2002-07-18 20:55:00,2002-07-18 21:40:00,6000,3000,E90b,10036,C3.3,2002-07-18 19:31:00,,360,True,
2000-11-03 18:35:00,2000-11-03 18:45:00,4000,2500,N02W02,9213,C3.2,2000-11-03 18:26:00,,360,True,
2002-04-30 14:15:00,2002-04-30 14:23:00,4000,2500,S16E77,9934,C3.2,2002-04-30 14:26:00,92.0,90,False,
2010-08-01 09:20:00,2010-08-01 17:30:00,2000,700,N20E36,11092,C3.2,,,----,True,
2002-03-17 06:00:00,2002-03-17 06:35:00,3000,1000,S20E24,9871,C3.1,2002-03-17 04:06:00,141.0,56,False,
2014-10-10 18:11:00,2014-10-10 18:33:00,2500,1500,S20W51,EP,C3.0,2014-10-10 16:12:00,309.0,>210,False,210.0
2017-09-12 07:38:00,2017-09-12 07:43:00,16000,13000,N08E48,12680,C3.0,2017-09-12 08:03:00,124.0,96,False,
1998-06-22 07:15:00,1998-06-22 09:20:00,6000,2000,N16W46,8243,C2.9,1998-06-22 05:01:00,265.0,59,False,
2015-06-09 20:23:00,2015-06-09 22:35:00,2300,200,S03E25,12364,C2.8,2015-06-09 20:12:00,77.0,262,False,
2005-09-05 10:40:00,2005-09-06 00:00:00,1500,60,S07E81,-----,C2.7,2005-09-05 09:48:00,,360,True,
2013-04-21 20:25:00,2013-04-21 22:12:00,14000,1700,S19W53,11723,C2.7,2013-04-21 20:36:00,255.0,212,False,
2015-09-18 04:54:00,2015-09-18 09:52:00,14000,400,S21W10,12415,C2.6,2015-09-18 05:00:00,201.0,131,False,
2004-06-23 06:30:00,2004-06-23 08:55:00,14000,5000,S09W21,10635,C2.5,,,----,True,
